name,context,code,level,type,extract,rel,year
南溪县,"[四川省, 宜宾市]",511522.0,3.0,del,2011 年 省 人民政府 同意 撤销 南溪县 设立 宜宾市 南溪区,撤县（市）设区,2010-2011
含山县,"[安徽省, 马鞍山市]",340522.0,3.0,add,1965 年 月 28 日 含山 改 属 巢湖 专区 专区 改为 地区 行署 1999 年 月 日 撤销 巢湖 地区 设 地级 巢湖市 属地 级 巢湖市 2011 年 月 原地 级 巢湖市 区域 调整 含山县 划归 马鞍山市,归属变化,2010-2011
呈贡县,"[云南省, 昆明市]",530121.0,3.0,del,2010 年 月 日 呈贡县 七甸 街道 126 平方千米 呈贡县 人民政府 委托 阳宗海 旅游 度假区 管理 委员会 管理     2011 年 月 20 日 国务院 批准 国务院办公厅 下发 同意 云南省 调整 昆明市 部门 行政区划 批复 国函 2011 58 号 同意 撤销 呈贡县 设立 昆明市 呈贡区     张 2011 年 11 月 日 昆明市 呈贡县 撤县 设区 暨 加快 呈贡 发展 大会 市委 市人大 市政府 市政协 领导 昆明市 呈贡区 委 区 人大 区政府 区 政协 授牌 授印 从即日起 正式 启用     2011 年末 呈贡区 辖 龙城 斗南 吴家营 洛龙 乌龙 雨花 街道 29 社区 托管 洛羊 大渔 马 金铺 七甸 街道 36 社区 辖区 面积 461 平方千米,撤县（市）设区,2010-2011
和县,"[安徽省, 马鞍山市]",340523.0,3.0,add,2011 年 月 国务院 批准 国函 2011 84 号 县 沈巷 镇 划入 马鞍山市,归属变化,2010-2011
望城县,"[湖南省, 长沙市]",430122.0,3.0,del,2011 年 月 撤销 湖南省 望城县 设立 长沙市 望城区 以原 望城县 行政区域 长沙市 望城区 行政区域,撤县（市）设区,2010-2011
庐江县,"[安徽省, 巢湖市]",341421.0,3.0,del,2011 年 月 国务院 批准 撤销 地级 巢湖市 庐江县 划归 合肥市 管辖,归属变化,2010-2011
江都区,"[江苏省, 扬州市]",321012.0,3.0,add,2011 年 11 月 13 日 国务院 批准 正式 撤市 设区 称为 扬州市 江都区,撤县（市）设区,2010-2011
巢湖市,"[安徽省, 巢湖市]",341400.0,3.0,del,2011 年 月 14 日 撤销 地级 巢湖市 设立 县级 巢湖市 原地 级 巢湖市 所辖 一区 四县 划归 合肥 芜湖 马鞍山 三市 管辖,分解,2010-2011
居巢区,"[安徽省, 巢湖市]",341402.0,3.0,del,2011 年 月 14 日 撤销 地级 巢湖市 设立 县级 巢湖市 原地 级 巢湖市 所辖 一区 四县 划归 合肥 芜湖 马鞍山 三市 管辖,归属变化,2010-2011
江都市,"[江苏省, 扬州市]",321088.0,3.0,del,2011 年 11 月 13 日 国务院 批准 正式 撤市 设区 称为 扬州市 江都区,撤县（市）设区,2010-2011
北屯市,"[新疆维吾尔自治区, 阿勒泰地区]",659005.0,3.0,add,1998 年 月 2002 年 10 月 2010 年 月 日 十师 三次 兵团 上报 设立 北屯市 请示 建议 采用 师市 合一 方式 设立 北屯市     2011 年 12 月 日 自治区 党委 副 书记 主席 努尔 白克力 签署 自治区 人民政府 北屯 设市 报 国务院 会议 文件     2011 年 12 月 20 日 国务院 批准 同意 设立 北屯市 新疆维吾尔自治区 直辖市 师市 合一 模式 管理     2011 年 12 月 28 日 新疆维吾尔自治区 北屯市 挂牌 仪式 十师 北屯市 新疆维吾尔自治区 北屯市 正式 成立,新增县／市／区,2010-2011
观山湖区,"[贵州省, 贵阳市]",520115.0,3.0,add,2012 年 11 月 15 日 国务院 批复 同意 原金 阳新 区 基础 设立 观山湖区 下辖 原 乌当区 金阳 街道 办事处 金华 镇 朱昌镇 清镇市 百花 湖乡     2012 年 12 月 21 日 观山湖区 挂牌 成立,新增县／市／区,2011-2012
名山区,"[四川省, 雅安市]",511803.0,3.0,add,2012 年 11 月 日 撤销 名山县 设立 雅安市 名山区 以原 名山县 行政区域 名山区 行政区域,撤县（市）设区,2011-2012
曹妃甸区,"[河北省, 唐山市]",130209.0,3.0,add,2012 年 月 11 日 国务院 批准 同意 撤销 唐海县 设立 唐山市 曹妃甸区,撤县（市）设区,2011-2012
博望区,"[安徽省, 马鞍山市]",340506.0,3.0,add,2012 年 月 12 日 博望区 成立,新增县／市／区,2011-2012
双湖县,"[西藏自治区, 那曲地区]",542431.0,3.0,add,2012 年 11 月 15 日 国务院 同意 西藏自治区 设立 双湖县 批复 国函 2012 191 号 设立 双湖县 尼玛县 措折 罗玛镇 协德乡 雅曲乡 措乡 措折 强玛乡 多玛乡 巴岭 乡 划归 双湖县 管辖 以措 折罗玛镇 协德乡 雅曲乡 措乡 措折 强玛乡 多玛乡 巴岭 乡 行政区域 双湖县 行政区域,新增县／市／区,2011-2012
名山县,"[四川省, 雅安市]",511821.0,3.0,del,2012 年 11 月 日 撤销 名山县 设立 雅安市 名山区 以原 名山县 行政区域 名山区 行政区域,撤县（市）设区,2011-2012
唐海县,"[河北省, 唐山市]",130230.0,3.0,del,2012 年 月 11 日 国务院 批准 同意 撤销 唐海县 设立 唐山市 曹妃甸区,撤县（市）设区,2011-2012
胶南市,"[山东省, 青岛市]",370284.0,3.0,del,2005 年 胶南市 撤销 隐珠 灵山 卫 铁山 珠山 四个 镇 原 行政区域 设立 隐珠 灵山 卫 铁山 滨海 街道 办事处 12 月 18 日 街道 办事处 正式 挂牌 成立 2012 年 12 月 日 国务院 批复 撤销 青岛市 黄岛区   县级 胶南市 设立 新 青岛市 黄岛区   以原 青岛市 黄岛区 县级 胶南市 行政区域 新 黄岛区 行政区域,合并,2011-2012
三沙市,"[海南省, 三沙市]",460300.0,3.0,add,2012 年 月 21 日 民政部 公告 国务院 正式 批准 撤销 西沙群岛 南沙群岛 中沙群岛 办事处 建立 地级 三沙市 政府 驻 西沙 永兴岛     2012 年 月 17 日 上午 海南省 四届 人大常委会 32 次 会议 海南省 人民代表大会常务委员会 成立 三沙市 人民代表大会 筹备组 三沙市 政权 组建 工作 正式 启动     2012 年 月 23 日 三沙市 第一届 人民代表大会 开幕     2012 年 月 24 日 上午 三沙市 成立 大会 暨 揭牌 仪式 永兴岛 重达 68 吨 三沙市 碑 永兴岛 正式 揭牌 三沙市 人民政府 党委 人大 解放军 三沙 警备区 挂牌 成立     三沙市 历史沿革 简表 年代 名称 隶属 备注 先秦 涨海 含 岛礁 百越 中国 渔民 南海 打渔 秦代 涨海 含 岛礁 南海 郡 别称 朱崖海 汉代 涨海 含 岛礁 儋耳郡 朱崖 郡 西沙 始称 千里 长沙 晋代 涨海 含 岛礁 南海 郡 别称 琼海 琼洋 隋唐 南海 含 岛礁 振洲 岭南 节度使 南沙 始称 万里 石塘 宋代 南海 含 岛礁 岭南 道 广南 道 西沙 称作 九乳螺石 七州洋 元代 南海 含 岛礁 广东 道 海南 道 郭守敬 三沙市 天文 测量 明代 南海 含 岛礁 广东省 琼 州府 崖州 郑和 西洋 停驻 三沙市 海域 清代 南海 含 岛礁 广东省 琼 州府 县级 清末 南海 拟 驻 东沙 广东省 拟 升格 为府级 行政 单位 直隶 广东省 民国 南海 含 岛礁 广东省 县级 1946 年南 西 东 中沙群岛 办事处 海军 司令部 县级 1947 年南 西 东 中沙群岛 办事处 海南特别 行政区 县级 1959 年南 西 中沙群岛 办事处 广东省 海南 行政区 县级 1988 年南 西 中沙群岛 办事处 海南省 县级 2012 年 三沙市 驻 西沙 永兴岛 海南省 地级市,新增县／市／区,2011-2012
姑苏区,"[江苏省, 苏州市]",320508.0,3.0,add,新 姑苏区 2012 年 月 撤销 苏州市 沧浪区 平江区 金阊区 设立 苏州市 姑苏区 以原 沧浪区 平江区 金阊区 行政区域 姑苏区 行政区域,合并,2011-2012
金阊区,"[江苏省, 苏州市]",320504.0,3.0,del,2012 年 月 号 国务院 同意 江苏省 调整 苏州市 行政区划 批复 撤销 沧浪区 平江区 金阊区 设立 姑苏区,合并,2011-2012
阿拉山口市,"[新疆维吾尔自治区, 博尔塔拉蒙古自治州]",652702.0,3.0,add,2011 年 月 国务院 批准 设立 阿拉山口 综合 保税区     2012 年 12 月 29 日 正式 揭牌 成立 县级市,新增县／市／区,2011-2012
铁门关市,"[新疆维吾尔自治区, 阿勒泰地区]",659006.0,3.0,add,市 人民政府 驻 铁门关市 兴疆路 号 2012 年 12 月 29 日 挂牌 成立,新增县／市／区,2011-2012
乐都区,"[青海省, 海东市]",630202.0,3.0,add,2013 年 月 海东市 成立 市政府 位于 乐都区     2013 年 月 日 国务院 国函 2013 23 号 批复 同意 撤销 海东地区 乐都县 设立 地级 海东市,撤地区设市,2012-2013
南康区,"[江西省, 赣州市]",360703.0,3.0,add,2013 年 11 月 国务院 正式 批复 江西 赣州市 行政区划 调整 方案 同意 撤销 县级 南康市 设立 赣州市 南康区 同意 原 南康市 潭 东镇 潭 口镇 划归 赣州市 章贡区 管辖,撤县（市）设区,2012-2013
扎赉诺尔区,"[内蒙古自治区, 呼伦贝尔市]",150703.0,3.0,add,2013 年 月 国务院 批准 民政部 扎赉诺尔 矿区 呼伦贝尔市 扎赉诺尔区 备案 县级 行政区划 建制 扎赉诺尔 矿区 管辖 区域 扎赉诺尔区 行政区域,新增县／市／区,2012-2013
恩阳区,"[四川省, 巴中市]",511903.0,3.0,add,属 四川省 巴中 恩阳区 2013 年 月 设立 恩阳区 区治 位于 恩阳区 登科 街道,新增县／市／区,2012-2013
海东市,"[青海省, 海东市]",630200.0,3.0,add,2013 年 月 海东 撤地 设市 海东市 政府 平安县 平安区 迁至 新 成立 乐都区,撤地区设市,2012-2013
海东地区,"[青海省, 海东地区]",632100.0,3.0,del,2013 年 月 海东 撤地 设市 海东市 政府 平安县 平安区 迁至 新 成立 乐都区,撤县（市）设区,2012-2013
乐都县,"[青海省, 海东地区]",632123.0,3.0,del,2013 年 月 海东市 成立 市政府 位于 乐都区     2013 年 月 日 国务院 国函 2013 23 号 批复 同意 撤销 海东地区 乐都县 设立 地级 海东市,撤地区设市,2012-2013
南康市,"[江西省, 赣州市]",360782.0,3.0,del,2013 年 11 月 国务院 正式 批复 江西 赣州市 行政区划 调整 方案 同意 撤销 县级 南康市 设立 赣州市 南康区 同意 原 南康市 潭 东镇 潭 口镇 划归 赣州市 章贡区 管辖,撤县（市）设区,2012-2013
达川区,"[四川省, 达州市]",511703.0,3.0,add,2013 年 月 18 日 国务院 批准 撤销 达县 设立 达州市 达川区 隶属,撤县（市）设区,2012-2013
前锋区,"[四川省, 广安市]",511603.0,3.0,add,2013 年 月 22 日 国务院 批准 原 广安区 渠江 中心 主航道 为界 渠江 以东 前锋区 以西 广安区     2013 年 月 日 前锋区 人民政府 正式 挂牌 成立,分解,2012-2013
梅县区,"[广东省, 梅州市]",441403.0,3.0,add,2012 年 月 广东省政府 正式 批复 同意 梅县 西阳 镇 划归 梅江区 管辖     2013 年 10 月 国务院 同意 批准 梅州市 梅县 撤县 设区 梅州市 辖区 梅江区 同属 梅州市 区 并称 梅城,撤县（市）设区,2012-2013
达县,"[四川省, 达州市]",511721.0,3.0,del,2013 年 月 18 日 国务院 批准 撤销 达县 设立 达州市 达川区 隶属,撤县（市）设区,2012-2013
梅县,"[广东省, 梅州市]",441421.0,3.0,del,2012 年 月 广东省政府 正式 批复 同意 梅县 西阳 镇 划归 梅江区 管辖     2013 年 10 月 国务院 同意 批准 梅州市 梅县 撤县 设区 梅州市 辖区 梅江区 同属 梅州市 区 并称 梅城,撤县（市）设区,2012-2013
兖州区,"[山东省, 济宁市]",370812.0,3.0,add,2013 年 10 月 18 日 撤市 设区 兖州市 改称 兖州区,撤县（市）设区,2012-2013
溧水区,"[江苏省, 南京市]",320117.0,3.0,add,2013 年 月 国务院 省政府 批复 同意 撤销 溧水县 设立 南京市 溧水区 以原 溧水县 行政区域 南京市 溧水区 行政区域,撤县（市）设区,2012-2013
高淳区,"[江苏省, 南京市]",320118.0,3.0,add,2013 年 月 国务院 省政府 批复 同意 撤销 高淳县 设立 南京市 高淳区 以原 高淳县 行政区域 南京市 高淳区 行政区域     2013 年 月 高淳区 新晋 国保 两处 薛城 遗址 固城 遗址,撤县（市）设区,2012-2013
弥勒市,"[云南省, 红河哈尼族彝族自治州]",532504.0,3.0,add,2013 年 月 国务院 批准 撤销 弥勒县 设立 县级 弥勒市,撤县设市,2012-2013
弥勒县,"[云南省, 红河哈尼族彝族自治州]",532526.0,3.0,del,2013 年 月 国务院 批准 撤销 弥勒县 设立 县级 弥勒市,撤县设市,2012-2013
下关区,"[江苏省, 南京市]",320107.0,3.0,del,2012 年 月 幕府 山 街道 原张 王庙 社区 孙家 洼路 以南 划入 市 街道 幕府 山 街道 原 白云 新寓 社区 塘村 号 划入 宝塔 桥 街道 小市 街道 河路 道 社区 汽轮 五村 托管 汽轮 七村 安怀 新村 社区 军犬 队 家属区 绿苑 小区 防化 大队 小区 一干 北崮戎院 安怀村 455 号 小区 军械 弹药 修理所 家属区 总装 试验场 宿舍 六干 南汽 宿舍 及安怀 东路 以北 散居 划入 幕府 山 街道     2013 年 月 国务院 江苏省政府 批复 同意 方案 撤销 鼓楼区 下关区 以原 两区 辖 区域 设立 新 鼓楼区,合并,2012-2013
兖州市,"[山东省, 济宁市]",370882.0,3.0,del,2013 年 10 月 18 日 撤市 设区 兖州市 改称 兖州区,撤县（市）设区,2012-2013
白下区,"[江苏省, 南京市]",320103.0,3.0,del,2013 年 月 20 日 国务院 江苏省政府 批复 同意 方案 撤销 秦淮区 白下区 以原 两区 辖 区域 设立 新 秦淮区,合并,2012-2013
溧水县,"[江苏省, 南京市]",320124.0,3.0,del,2013 年 月 国务院 省政府 批复 同意 撤销 溧水县 设立 南京市 溧水区 以原 溧水县 行政区域 南京市 溧水区 行政区域,撤县（市）设区,2012-2013
高淳县,"[江苏省, 南京市]",320125.0,3.0,del,2013 年 月 国务院 省政府 批复 同意 撤销 高淳县 设立 南京市 高淳区 以原 高淳县 行政区域 南京市 高淳区 行政区域     2013 年 月 高淳区 新晋 国保 两处 薛城 遗址 固城 遗址,撤县（市）设区,2012-2013
柯桥区,"[浙江省, 绍兴市]",330603.0,3.0,add,2013 年 10 月 18 日 国务院 国函 2013 112 号 文件 批复 浙江省人民政府 请示 同意 撤销 县级 绍兴县 设立 绍兴市 柯桥区 行政区域 孙端 陶堰 富盛 三镇     2013 年 11 月 日 绍兴市 柯桥区 人民政府 正式 挂牌 成立,撤县（市）设区,2012-2013
上虞区,"[浙江省, 绍兴市]",330604.0,3.0,add,2013 年 10 月 撤销 县级 上虞市 设立 绍兴市 上虞区 以原 上虞市 行政区域 上虞区 行政区域,撤县（市）设区,2012-2013
龙圩区,"[广西壮族自治区, 梧州市]",450406.0,3.0,add,2013 年 月 日 梧州市 苍梧县 龙 圩镇 新地 镇 广平 镇 大坡 镇新设 龙圩区     2013 年 月 成立 梧州市 龙圩区,新增县／市／区,2012-2013
蝶山区,"[广西壮族自治区, 梧州市]",450404.0,3.0,del,2013 年 撤销 梧州市 蝶山区 设立 新 梧州市 蝶山区     以原 蝶山区 不含 夏 郢 镇 万秀区 不含 旺甫 镇 行政区域 新 蝶山区 行政区域 称为 万秀区,合并,2012-2013
扶余市,"[吉林省, 松原市]",220781.0,3.0,add,2013 年 月 24 日 国务院 批准 撤销 扶余县 设立 扶余市 县级 吉林省 直辖 松原市 代管,撤县设市,2012-2013
临桂区,"[广西壮族自治区, 桂林市]",450312.0,3.0,add,2013 年 月 18 日 国务院 同意 广西壮族自治区 调整 桂林市 行政区划 批复 国函 2013 17 号 同意 撤销 临桂县 设立 桂林市 临桂区 以原 临桂县 行政区域 临桂区 行政区域,撤县（市）设区,2012-2013
扶余县,"[吉林省, 松原市]",220724.0,3.0,del,2013 年 月 24 日 国务院 批准 撤销 扶余县 设立 扶余市 县级 吉林省 直辖 松原市 代管,撤县设市,2012-2013
福绵区,"[广西壮族自治区, 玉林市]",450903.0,3.0,add,2013 年 月 国务院 批复 同意 设立 玉林市 福绵区,新增县／市／区,2012-2013
绍兴县,"[浙江省, 绍兴市]",330621.0,3.0,del,2013 年 10 月 18 日 国务院 国函 2013 112 号 文件 批复 浙江省人民政府 请示 同意 撤销 县级 绍兴县 设立 绍兴市 柯桥区 行政区域 孙端 陶堰 富盛 三镇     2013 年 11 月 日 绍兴市 柯桥区 人民政府 正式 挂牌 成立,撤县（市）设区,2012-2013
上虞市,"[浙江省, 绍兴市]",330682.0,3.0,del,2013 年 10 月 撤销 县级 上虞市 设立 绍兴市 上虞区 以原 上虞市 行政区域 上虞区 行政区域,撤县（市）设区,2012-2013
临桂县,"[广西壮族自治区, 桂林市]",450322.0,3.0,del,2013 年 月 18 日 国务院 同意 广西壮族自治区 调整 桂林市 行政区划 批复 国函 2013 17 号 同意 撤销 临桂县 设立 桂林市 临桂区 以原 临桂县 行政区域 临桂区 行政区域,撤县（市）设区,2012-2013
平坝区,"[贵州省, 安顺市]",520403.0,3.0,add,2014 年 12 月 13 日 国务院 同意 撤销 平坝县 设立 安顺市 平坝区 以原 平坝县 行政区域 平坝区 行政区域 人民政府 驻 安平 街道 中山南路 58 号,撤县（市）设区,2013-2014
璧山区,"[重庆市, 璧山区]",500120.0,2.0,add,2014 年 月 日 国务院 发布 同意 调整 重庆市 行政区划 批复 国函 2014 58 号 文件 批复 重庆市 撤销 璧山县 设立 重庆市 璧山区 以原 璧山县 行政区域 璧山区 行政区域     2014 年 月 15 日 璧山区 正式 挂牌 运行,撤县（市）设区,2013-2014
铜梁区,"[重庆市, 铜梁区]",500151.0,2.0,add,2014 年 月 日 国务院 发布 同意 调整 重庆市 行政区划 批复 国函 2014 58 号 文件 批复 重庆市 撤销 铜梁县 设立 重庆市 铜梁区 以原 铜梁县 行政区域 铜梁区 行政区域     2014 年 月 15 日 铜梁区 正式 挂牌 运行,撤县（市）设区,2013-2014
九台区,"[吉林省, 长春市]",220113.0,3.0,add,九台区 撤市 设区 张 2014 年 12 月 20 日 九台 撤市 设区 揭牌 大会 成功,撤县（市）设区,2013-2014
彭山区,"[四川省, 眉山市]",511403.0,3.0,add,2014 年 10 月 20 日 国务院 同意 四川省 调整 眉山市 行政区划 批复 国函 2014 140 号 撤销 彭山县 设立 眉山市 彭山区 以原 彭山县 行政区域 彭山区 行政区域 彭山区 人民政府 驻凤鸣 镇 西街 98 号,撤县（市）设区,2013-2014
建阳区,"[福建省, 南平市]",350703.0,3.0,add,2014 年 月 27 日 国务院 批复 同意 南平市 行政区划 调整 方案 同意 撤销 建阳市 设立 南平市 建阳区 以原 建阳市 行政区域 建阳区 行政区域 南平市 政府 驻地 南平市 一路 439 号 迁至 南平市 建阳区 南林 大街 36 号,撤县（市）设区,2013-2014
祥符区,"[河南省, 开封市]",410212.0,3.0,add,2014 年 河南省 调整 开封市 行政区划 撤销 金明区 并入 龙亭区 撤销 开封县 设立 祥符区     2014 年 10 月 19 日 正式 更名 开封市 祥符区     祥符区 自然资源 编辑 祥符区 土地 资源 2013 年 祥符区 利用 耕地 总面积 120 万亩,撤县（市）设区,2013-2014
金明区,"[河南省, 开封市]",410211.0,3.0,del,2014 年 河南省 调整 开封市 行政区划 撤销 金明区 并入 龙亭区,合并,2013-2014
平坝县,"[贵州省, 安顺市]",520421.0,3.0,del,2014 年 12 月 13 日 国务院 同意 撤销 平坝县 设立 安顺市 平坝区 以原 平坝县 行政区域 平坝区 行政区域 人民政府 驻 安平 街道 中山南路 58 号,撤县（市）设区,2013-2014
